1-CdSe,,2-CdMnSe,
波长 (nm),吸光度,波长 (nm),吸光度
522,0.583065362649782,522,0.295739215568076
521,0.586967217690277,521,0.298558974994789
520,0.59014691016123,520,0.300875380415149
519,0.593254362008334,519,0.302566142213336
518,0.59607250985588,518,0.303611182202994
517,0.599070482938978,517,0.304304250054404
516,0.60221932280075,516,0.304459308346951
515,0.60520841894137,515,0.304152141167066
514,0.607964334037801,514,0.303510652329135
513,0.610803214905627,513,0.302326148685452
512,0.613680050857974,512,0.300996448744729
511,0.616490588973285,511,0.29960162967299
510,0.619156936072973,510,0.297828033683684
509,0.622211455732975,509,0.295821669219809
508,0.624948358021886,508,0.29386297755076
507,0.628365633303684,507,0.291647613218959
506,0.631159407176798,506,0.289862441678439
505,0.63479237273755,505,0.28762331337759
504,0.63726447672842,504,0.285790985996507
503,0.640577500650521,503,0.284118253806074
502,0.644183508344645,502,0.282210336332186
501,0.648053810287036,501,0.280482126337948
500,0.651595048491254,500,0.27913433294369
499,0.654823976183861,499,0.277884058933985
498,0.658585395927378,498,0.276737721291492
497,0.662074176736838,497,0.276077567826698
496,0.666058956442231,496,0.275277972244633
495,0.670174650754134,495,0.274701105668163
494,0.674591625647108,494,0.274333814231333
493,0.678856255603768,493,0.274231489696736
492,0.68277708258382,492,0.27411575864803
491,0.686756217457753,491,0.274313512918015
490,0.691759339691798,490,0.274825424848409
489,0.696616524312175,489,0.275339795221566
488,0.700976842379957,488,0.276161162747445
487,0.705391759569478,487,0.276896562213841
486,0.710587810545077,486,0.277884795209065
485,0.71581502780892,485,0.279146196686487
484,0.719873045568238,484,0.280380910192643
483,0.72447775912173,483,0.281606568954049
482,0.729562502559013,482,0.283265014708337
481,0.735479368534668,481,0.285194952598934
480,0.741161445921054,480,0.287238714887851
479,0.746632614978066,479,0.289611084056252
478,0.752036164130465,478,0.292101559614673
477,0.757483911486644,477,0.294518259816061
476,0.763369210507289,476,0.29764701867662
475,0.768976139141631,475,0.30081995594448
474,0.774755251240495,474,0.304269562557088
473,0.780405390053516,473,0.307975067516627
472,0.785841632838126,472,0.311665875796863
471,0.791393900948043,471,0.315518667582553
470,0.797428053721052,470,0.319935966828994
469,0.803272606531887,469,0.324799664911011
468,0.808903040709596,468,0.329543823925339
467,0.814841781089343,467,0.334547507822422
466,0.820210182950431,466,0.340055916029748
465,0.825816778787655,465,0.345314612972711
464,0.83132924122394,464,0.351114160335467
463,0.836779096638313,463,0.357336269774905
462,0.842337776002688,462,0.363758839380788
461,0.847488978904275,461,0.369845664650709
460,0.852323463512437,460,0.375859681325677
459,0.857280525693788,459,0.382207790658132
458,0.862645800933955,458,0.388980350199134
